oid,academicTrackName,maxCredit,minCredit,type
ATR000002nzscf,Comparative Arts 2018,12.0,2.5,Comparative Arts
ATR000002oljyv,Motion Picture Arts 2018,12.0,2.5,MPA
ATR000002olk9P,Music - Composition 2018,12.0,2.5,Music - Composition
ATR000002olkes,Visual Arts 2018,12.0,1.0,Visual Arts
ATR000002olkJt,Theatre Arts - D&P 2018,12.0,2.5,Theatre D/P
ATR000002olkpM,Theatre Arts - Performance 2018,12.0,2.5,Theatre
ATR000002olkUO,Music - Piano 2018,12.0,2.5,Music - Piano
ATR000002olkzq,Music - Large Ensemble Instrument 2018,12.0,2.5,Music - Orch. Instrument
ATR000002ollAL,Music - Guitar 2018,12.0,2.5,Music - Guitar
ATR000002ollfq,Music - Organ 2018,12.0,2.5,Music - Organ
ATR000002ollKq,Music - Vocal 2018,12.0,2.5,Music - Vocal
ATR000002ollVL,Music - Sing/Song 2018,12.0,2.5,Music - Sing/Song
ATR000002olRsQ,Creative Writing 2018,12.0,2.5,Creative Writing
ATR000002olSqD,Dance 2018,12.0,2.5,Dance
